week,product,sentiment_categoria,count,total,percentage
2025-02-24,Apple Vision Pro,Neutro,7,27,25.925925925925924
2025-02-24,Apple Vision Pro,Positivo,14,27,51.85185185185185
2025-02-24,Meta Quest 3,Negativo,2,18,11.11111111111111
2025-02-24,Meta Quest 3,Neutro,3,18,16.666666666666664
2025-02-24,Meta Quest 3,Positivo,13,18,72.22222222222221
2025-03-03,Apple Vision Pro,Negativo,1,26,3.8461538461538463
2025-03-03,Apple Vision Pro,Neutro,11,26,42.30769230769231
2025-03-03,Apple Vision Pro,Positivo,14,26,53.84615384615385
2025-03-03,Meta Quest 3,Neutro,2,8,25.0
2025-03-03,Meta Quest 3,Positivo,6,8,75.0
2025-03-10,Apple Vision Pro,Negativo,8,24,33.33333333333333
2025-03-10,Apple Vision Pro,Neutro,9,24,37.5
2025-03-10,Apple Vision Pro,Positivo,7,24,29.166666666666668
2025-03-10,Meta Quest 3,Negativo,4,15,26.666666666666668
2025-03-10,Meta Quest 3,Neutro,4,15,26.666666666666668
2025-03-10,Meta Quest 3,Positivo,7,15,46.666666666666664
2025-03-17,Apple Vision Pro,Negativo,5,21,23.809523809523807
2025-03-17,Apple Vision Pro,Neutro,6,21,28.57142857142857
2025-03-17,Apple Vision Pro,Positivo,10,21,47.61904761904761
2025-03-17,Meta Quest 3,Negativo,4,24,16.666666666666664
2025-03-17,Meta Quest 3,Neutro,5,24,20.833333333333336
2025-03-17,Meta Quest 3,Positivo,15,24,62.5
2025-03-24,Apple Vision Pro,Negativo,1,12,8.333333333333332
2025-03-24,Apple Vision Pro,Neutro,3,12,25.0
2025-03-24,Apple Vision Pro,Positivo,8,12,66.66666666666666
2025-03-24,Meta Quest 3,Negativo,3,16,18.75
2025-03-24,Meta Quest 3,Neutro,3,16,18.75
2025-03-24,Meta Quest 3,Positivo,10,16,62.5
2025-03-31,Apple Vision Pro,Negativo,1,18,5.555555555555555
2025-03-31,Apple Vision Pro,Neutro,7,18,38.88888888888889
2025-03-31,Apple Vision Pro,Positivo,10,18,55.55555555555556
2025-03-31,Meta Quest 3,Negativo,3,25,12.0
2025-03-31,Meta Quest 3,Neutro,9,25,36.0
2025-03-31,Meta Quest 3,Positivo,13,25,52.0
2025-04-07,Apple Vision Pro,Negativo,4,11,36.36363636363637
2025-04-07,Apple Vision Pro,Neutro,4,11,36.36363636363637
2025-04-07,Apple Vision Pro,Positivo,3,11,27.27272727272727
2025-04-07,Meta Quest 3,Negativo,3,12,25.0
2025-04-07,Meta Quest 3,Neutro,3,12,25.0
2025-04-07,Meta Quest 3,Positivo,6,12,50.0
2025-04-14,Apple Vision Pro,Negativo,6,12,50.0
2025-04-14,Apple Vision Pro,Neutro,1,12,8.333333333333332
2025-04-14,Apple Vision Pro,Positivo,5,12,41.66666666666667
2025-04-14,Meta Quest 3,Neutro,2,10,20.0
2025-04-14,Meta Quest 3,Positivo,8,10,80.0
2025-04-21,Apple Vision Pro,Negativo,1,13,7.6923076923076925
2025-04-21,Apple Vision Pro,Neutro,3,13,23.076923076923077
2025-04-21,Apple Vision Pro,Positivo,9,13,69.23076923076923
2025-04-21,Meta Quest 3,Negativo,1,16,6.25
2025-04-21,Meta Quest 3,Neutro,5,16,31.25
2025-04-21,Meta Quest 3,Positivo,10,16,62.5
2025-04-28,Apple Vision Pro,Negativo,1,10,10.0
2025-04-28,Apple Vision Pro,Neutro,3,10,30.0
2025-04-28,Apple Vision Pro,Positivo,6,10,60.0
2025-04-28,Meta Quest 3,Neutro,6,18,33.33333333333333
2025-04-28,Meta Quest 3,Positivo,12,18,66.66666666666666
2025-05-05,Apple Vision Pro,Negativo,4,10,40.0
2025-05-05,Apple Vision Pro,Neutro,2,10,20.0
2025-05-05,Apple Vision Pro,Positivo,4,10,40.0
2025-05-05,Meta Quest 3,Neutro,3,13,23.076923076923077
2025-05-05,Meta Quest 3,Positivo,10,13,76.92307692307693
2025-05-12,Apple Vision Pro,Negativo,4,14,28.57142857142857
2025-05-12,Apple Vision Pro,Neutro,7,14,50.0
2025-05-12,Apple Vision Pro,Positivo,3,14,21.428571428571427
2025-05-12,Meta Quest 3,Negativo,1,11,9.090909090909092
2025-05-12,Meta Quest 3,Neutro,4,11,36.36363636363637
2025-05-12,Meta Quest 3,Positivo,6,11,54.54545454545454
2025-05-19,Apple Vision Pro,Negativo,1,12,8.333333333333332
2025-05-19,Apple Vision Pro,Neutro,6,12,50.0
2025-05-19,Apple Vision Pro,Positivo,5,12,41.66666666666667
2025-05-19,Meta Quest 3,Negativo,1,12,8.333333333333332
2025-05-19,Meta Quest 3,Neutro,2,12,16.666666666666664
2025-05-19,Meta Quest 3,Positivo,9,12,75.0
2025-05-26,Apple Vision Pro,Positivo,5,5,100.0
2025-05-26,Meta Quest 3,Negativo,2,11,18.181818181818183
2025-05-26,Meta Quest 3,Neutro,2,11,18.181818181818183
2025-05-26,Meta Quest 3,Positivo,7,11,63.63636363636363
2025-06-02,Apple Vision Pro,Negativo,3,15,20.0
2025-06-02,Apple Vision Pro,Neutro,6,15,40.0
2025-06-02,Apple Vision Pro,Positivo,6,15,40.0
2025-06-02,Meta Quest 3,Negativo,3,16,18.75
2025-06-02,Meta Quest 3,Neutro,4,16,25.0
2025-06-02,Meta Quest 3,Positivo,9,16,56.25
2025-06-09,Apple Vision Pro,Negativo,1,11,9.090909090909092
2025-06-09,Apple Vision Pro,Neutro,4,11,36.36363636363637
